Entity,Year,Daily fat supply (FAO (2017))
Afghanistan,1961,37.51
Afghanistan,1962,37.61
Afghanistan,1963,38.57
Afghanistan,1964,38.95
Afghanistan,1965,39.73
Afghanistan,1966,39.95
Afghanistan,1967,41.85
Afghanistan,1968,41.99
Afghanistan,1969,41.5
Afghanistan,1970,37.92
Afghanistan,1971,35.18
Afghanistan,1972,34.64
Afghanistan,1973,37.2
Afghanistan,1974,38.81
Afghanistan,1975,39.95
Afghanistan,1976,41.95
Afghanistan,1977,38.4
Afghanistan,1978,38.52
Afghanistan,1979,40.01
Afghanistan,1980,40.05
Afghanistan,1981,43.17
Afghanistan,1982,45.24
Afghanistan,1983,46.25
Afghanistan,1984,45.83
Afghanistan,1985,45.87
Afghanistan,1986,47.03
Afghanistan,1987,41.41
Afghanistan,1988,43.21
Afghanistan,1989,51.12
Afghanistan,1990,48.4
Afghanistan,1991,41.12
Afghanistan,1992,38.11
Afghanistan,1993,33.08
Afghanistan,1994,31.88
Afghanistan,1995,40.66
Afghanistan,1996,38.86
Afghanistan,1997,34.24
Afghanistan,1998,35.57
Afghanistan,1999,38.02
Afghanistan,2000,32.14
Afghanistan,2001,26.96
Afghanistan,2002,29.95
Afghanistan,2003,29.99
Afghanistan,2004,34.95
Afghanistan,2005,36.75
Afghanistan,2006,31.13
Afghanistan,2007,32.09
Afghanistan,2008,29.72
Afghanistan,2009,30.72
Afghanistan,2010,33.88
Afghanistan,2011,33.08
Afghanistan,2012,33.37
Afghanistan,2013,33.52
Albania,1961,44.85
Albania,1962,46.06
Albania,1963,43.14
Albania,1964,48.29
Albania,1965,44.41
Albania,1966,47.17
Albania,1967,47.3
Albania,1968,47.92
Albania,1969,48.66
Albania,1970,52.08
Albania,1971,48.85
Albania,1972,44.39
Albania,1973,48.88
Albania,1974,51.92
Albania,1975,54.15
Albania,1976,57.69
Albania,1977,59.44
Albania,1978,57.5
Albania,1979,61.12
Albania,1980,58.53
Albania,1981,60.54
Albania,1982,57.83
Albania,1983,63.25
Albania,1984,60.42
Albania,1985,56.8
Albania,1986,57.23
Albania,1987,57.36
Albania,1988,59.15
Albania,1989,61.2
Albania,1990,60.92
Albania,1991,68.58
Albania,1992,69.9
Albania,1993,74.06
Albania,1994,74.98
Albania,1995,78.01
Albania,1996,82.86
Albania,1997,73.15
Albania,1998,74.79
Albania,1999,76.82
Albania,2000,75.56
Albania,2001,79.98
Albania,2002,81.06
Albania,2003,82.36
Albania,2004,88.72
Albania,2005,88.6
Albania,2006,91.55
Albania,2007,91.29
Albania,2008,95.42
Albania,2009,101.91
Albania,2010,102.07
Albania,2011,102.7
Albania,2012,105.95
Albania,2013,106.53
Algeria,1961,29.78
Algeria,1962,25.21
Algeria,1963,26.61
Algeria,1964,28.98
Algeria,1965,29.86
Algeria,1966,29.26
Algeria,1967,30.73
Algeria,1968,31.37
Algeria,1969,32.66
Algeria,1970,33.61
Algeria,1971,33.79
Algeria,1972,36.06
Algeria,1973,33.35
Algeria,1974,42.06
Algeria,1975,37.65
Algeria,1976,35.06
Algeria,1977,48.64
Algeria,1978,50.9
Algeria,1979,53.75
Algeria,1980,57.66
Algeria,1981,67.55
Algeria,1982,67.79
Algeria,1983,62.14
Algeria,1984,60.5
Algeria,1985,62.2
Algeria,1986,54.25
Algeria,1987,55.64
Algeria,1988,63.9
Algeria,1989,66.93
Algeria,1990,69.15
Algeria,1991,66.7
Algeria,1992,72.71
Algeria,1993,70.99
Algeria,1994,66.68
Algeria,1995,68.8
Algeria,1996,61.6
Algeria,1997,65.26
Algeria,1998,64.36
Algeria,1999,66.66
Algeria,2000,65.5
Algeria,2001,69.92
Algeria,2002,65.43
Algeria,2003,60.98
Algeria,2004,63.8
